firma,street,plz,city,country,country_code,local_number,long_number_flag
Ittner Blitzschutz GmbH,Widdersdorfer Straße 260,50933,Köln,DE,49.0,1726898737,No
Blitzschutz-Bau Stuttgart GmbH,Schönbuchstr. 30/1,72631,Aichtal-Neuenhaus,DE,49.0,1796791091,Yes
Robert Rothe Feuerschutz GmbH,Am Veringhof 13,21107,Hamburg,DE,49.0,1767473728,Yes
Darpe Bürocenter GmbH & Co. KG,Beckumer Str. 3,48231,Warendorf,DE,49.0,1764571625,No
"INTERCENT Fachübersetzungsdienst in Hagen, Inh.: Esmer Öz",Elbersufer 12,58095,Hagen,DE,49.0,1783848268,Yes
ProjectLine GmbH & Co. KG,Waldstraße 23,82049,Pullach im Isartal,DE,49.0,1739114497,Yes
Fremdsprachenservice International Rudolf Behrens,Kleiststr. 12,53819,Neunkirchen-Seelscheid,DE,49.0,1766952990,Yes
TEAM Übersetzungen GmbH,Hauptstraße 8,70563,Stuttgart,DE,49.0,1720738396,Yes
Übersetzungsdienst Elvira Rosin,Ahornallee 32,67697,Otterberg,DE,49.0,17513494550003400199,Yes
Ueberschär GmbH & Co. KG,Am äußeren Graben 6,70439,Stuttgart (Stammheim),DE,49.0,1604577921,Yes
Heribert Ecken OHG,Buscherhofstr. 11,40599,Düsseldorf,DE,49.0,3997553152,No
ASTRA®-DETEKTIVE e.K.,Regensburger Str. 334a,90480,Nürnberg,DE,49.0,144900015216000756147,Yes
Cohn Digital-Center GmbH,Edisonstraße 3,74076,Heilbronn,DE,49.0,1523969801,Yes
"Copy-Druck-Center, Inh. Alfred Sänger",Vöttinger Straße 11,85354,Freising,DE,49.0,1786800931,Yes
"Mang + co, Buch- und Verlagsdruckerei GmbH + Co. KG",Penzendorfer Str. 12,91126,Rednitzhembach,DE,49.0,174500129001308183,Yes
"ELKA Medien, Inh. Gerd Ellwanger",Badstraße 14,74072,Heilbronn,DE,49.0,1753216802,No
Domino Deutschland GmbH,Lorenz-Schott-Straße 3,55252,Mainz-Kastel,DE,49.0,1608021159,Yes
